ID,Nom,Email,Tel,Type,Web_site,FB,FB_nb_aderent,Twitter,Twitter_nb_aderent,Insta,Insta_nb_aderent,Youtube,Youtube_nb_aderent,Tiktok,Tiktok_nb_aderent,nb_adherent,Date_contact,Adresse_postal,Departement,Region,Pays,Accepte_com,Statut,Commentaire
09c1ceaf,Artisan Assurer,carolinebesson@example.net,,Artisan,http://www.marion.com/,https://www.poulain.fr/,4778.0,http://www.daniel.com/,1072.0,,,,,,,,2025-08-14,"71, chemin Gabriel Letellier Antibes",06,Provence-Alpes-Côte d'Azur,France,Non,Prospect,
7f9d7f98,Influenceur École,colette25@example.net,,Influenceur,https://www.godard.org/,,,https://moreau.fr/,13006.0,https://lemoine.com/,26637.0,http://www.bernard.com/,23602.0,,,,,"2, boulevard Lebon Avallon",89,Bourgogne-Franche-Comté,France,Non,Contacté,
e9724c1c,Asso jdr Chaque,dbailly@example.net,02 77 37 21 18,Asso jdr,https://roche.com/,,,,,,,,,,,247.0,,"44, boulevard Salmon Beaune",21,Bourgogne-Franche-Comté,France,Non,Prospect,
d8edb3f6,Bar à jeux Haine,michelle74@example.net,+33 (0)4 26 71 09 79,Bar à jeux,https://hoareau.com/,http://blin.com/,799.0,https://bourgeois.net/,1244.0,https://www.dupre.fr/,572.0,,,,,,2025-09-03,"441, boulevard Bousquet Saint-Amand-Montrond",18,Centre-Val de Loire,France,Non,Intéressé,
319c55a8,Artisan Delà,gabrielle89@example.org,05 56 42 83 28,Artisan,https://daniel.fr/,https://didier.com/,4047.0,,,,,,,,,,2025-08-03,rue Laine Béziers,34,Occitanie,France,Oui,Contacté,
bf287dac,Ludothèque Puis,wprevost@example.org,+33 3 52 79 05 60,Ludothèque,http://schmitt.org/,http://www.barbier.com/,1730.0,https://duhamel.com/,1456.0,,,,,,,491.0,,"41, boulevard Roussel Yssingeaux",43,Auvergne-Rhône-Alpes,France,Oui,Prospect,
2650ebd7,Bar à jeux Bout,,06 74 42 76 79,Bar à jeux,http://www.pinto.com/,http://girard.org/,3476.0,https://albert.com/,1495.0,http://julien.org/,5655.0,,,,,,2025-07-02,"20, rue Lenoir Dreux",28,Centre-Val de Loire,France,Oui,Intéressé,
146945d5,Ludothèque Sac,alaindumont@example.net,04 84 95 13 34,Ludothèque,https://baudry.com/,https://www.riviere.net/,3291.0,,,http://www.carlier.fr/,695.0,,,,,279.0,,"14, avenue Patrick Martin Montbrison",42,Auvergne-Rhône-Alpes,France,Non,Intéressé,Corps pouvoir sur.
fed62ce5,MJC Mais,thereseferrand@example.net,0482482207,MJC,http://adam.com/,http://www.allard.com/,1590.0,,,,,,,,,317.0,2025-09-27,"76, chemin de Potier Thionville",57,Grand Est,France,Oui,Prospect,
7f03e975,Asso jdr Siècle,renee76@example.net,05 59 59 51 81,Asso jdr,https://ledoux.fr/,http://www.fontaine.fr/,972.0,https://david.fr/,695.0,,,,,,,484.0,,rue Lamy Paris,75,Île-de-France,France,Non,Intéressé,
e72a3943,CSCS Garder,legerfrancoise@example.com,+33 4 67 67 53 02,CSCS,http://leclerc.com/,http://www.aubert.fr/,1034.0,https://www.bouvier.com/,1498.0,,,,,,,205.0,,chemin Mercier Aix-les-Bains,73,Auvergne-Rhône-Alpes,France,Non,Intéressé,
62281a58,Médiathèque Côté,gregoire42@example.org,0634036530,Médiathèque,https://www.fouquet.fr/,http://www.guyot.net/,3293.0,http://jacquet.fr/,912.0,,,,,,,196.0,2025-08-04,"3, rue Rodriguez Nîmes",30,Occitanie,France,Non,Intéressé,Non note jouer établir bon résistance croire oncle.
b5ee71ff,Artisan Coin,tduhamel@example.com,04 38 23 42 10,Artisan,https://www.pages.org/,https://masse.com/,4112.0,https://blot.fr/,2874.0,https://david.fr/,4126.0,,,,,,2025-06-15,"54, boulevard de Foucher Boulogne-Billancourt",92,Île-de-France,France,Oui,Contacté,
23cabe41,Editeur Rouler,imeyer@example.org,+33 (0)4 81 31 16 37,Editeur,http://rousset.com/,https://www.carre.org/,1645.0,https://www.da.com/,9519.0,https://delmas.com/,3854.0,https://www.julien.fr/,3230.0,,,,,"87, rue de Petit Gourdon",46,Occitanie,France,Oui,Prospect,
4bdd40e0,Boutique spécialisée Été,xavierguyot@example.com,0567052116,Boutique spécialisée,,http://www.menard.org/,1244.0,https://www.lebreton.fr/,2100.0,https://laurent.com/,453.0,,,,,,,"670, rue Bouchet Guéret",23,Nouvelle-Aquitaine,France,Oui,Intéressé,Changement voler double beauté cause enfoncer.
b9496723,Editeur Décider,odettebailly@example.com,07 40 27 22 79,Editeur,https://www.neveu.fr/,https://www.daniel.fr/,8179.0,https://blanc.org/,10208.0,http://roche.org/,10810.0,,,,,,,"1, rue de Bègue Bayeux",14,Normandie,France,Non,Intéressé,
f1a74151,MJC Contre,emmanuelleperrier@example.org,+33 (0)5 55 37 65 70,MJC,https://www.blanchet.fr/,,,,,,,,,,,279.0,2025-02-22,"22, rue de Lopez Charleville-Mézières",08,Grand Est,France,Non,Contacté,
4fcda510,Bar à jeux Brûler,legrandaudrey@example.com,0492477661,Bar à jeux,https://www.barthelemy.com/,https://www.lemonnier.fr/,1532.0,http://bonnin.fr/,2923.0,https://chevallier.com/,1227.0,,,,,,2024-01-08,"793, rue Merle Caen",14,Normandie,France,Oui,Intéressé,
66d9cd97,Bar à jeux Établir,benoitleon@example.org,+33 6 35 24 15 95,Bar à jeux,https://www.mace.net/,http://roger.fr/,4985.0,https://gaillard.fr/,566.0,https://www.leblanc.fr/,4669.0,,,,,,2024-07-01,"9, rue Gosselin Gap",05,Provence-Alpes-Côte d'Azur,France,Oui,Prospect,
018bec9b,Influenceur Fonder,xferreira@example.org,+33 3 44 76 02 47,Influenceur,http://guillon.fr/,,,http://lejeune.fr/,24215.0,http://techer.org/,16367.0,https://mallet.com/,45741.0,https://www.lebrun.net/,64489.0,,,"83, chemin de Ollivier Saumur",49,Pays de la Loire,France,Non,Contacté,
8bf68a75,Influenceur Écouter,andreepayet@example.net,+33 2 72 36 24 37,Influenceur,http://payet.net/,,,https://girard.fr/,7582.0,https://www.da.fr/,3360.0,https://www.garnier.com/,48184.0,https://olivier.com/,43371.0,,2025-02-02,"401, chemin Alexandre Dupont Troyes",10,Grand Est,France,Non,Contacté,Vrai étude nature.
99e14682,Editeur Essuyer,sanchezroland@example.org,+33 4 83 76 97 76,Editeur,https://www.guillou.com/,https://www.neveu.org/,8511.0,http://renault.com/,10990.0,https://joubert.org/,8382.0,http://www.fleury.net/,7974.0,,,,2024-04-24,"60, chemin Nath Lucas Paris",75,Île-de-France,France,Non,Contacté,
cba34a91,CSCS Projet,lbonneau@example.net,+33 4 87 46 84 57,CSCS,https://maurice.com/,https://renaud.fr/,477.0,https://langlois.net/,1821.0,http://www.berthelot.net/,2197.0,,,,,379.0,,"23, boulevard Coulon Besançon",25,Bourgogne-Franche-Comté,France,Non,Contacté,
235d532d,Influenceur Million,fischerphilippine@example.com,05 58 38 97 75,Influenceur,https://rousset.com/,,,http://picard.fr/,16496.0,https://etienne.com/,20589.0,https://boulanger.com/,16819.0,https://www.lefevre.org/,33862.0,,,"83, rue Zacharie Lemaître Gien",45,Centre-Val de Loire,France,Oui,Prospect,Général solitude couvrir épais voie étaler sept.
f26dd6e0,Ludothèque Chute,huetmarie@example.org,0234735904,Ludothèque,https://ledoux.org/,https://www.buisson.fr/,1047.0,,,https://seguin.com/,2063.0,,,,,20.0,,"79, avenue Lambert Sablé-sur-Sarthe",72,Pays de la Loire,France,Oui,Prospect,
5dddc825,Médiathèque Conversation,lagardedenise@example.com,,Médiathèque,https://moreno.org/,https://www.renault.com/,1263.0,,,,,,,,,53.0,,avenue de Lemoine Saint-Lô,50,Normandie,France,Oui,Prospect,
9a511d77,CSCS Crainte,claudineaubry@example.net,+33 3 82 00 14 42,CSCS,http://www.roche.com/,http://martineau.fr/,904.0,https://www.bertin.fr/,1771.0,http://www.lebrun.fr/,582.0,,,,,179.0,,"897, avenue Frédéric Leleu Tarbes",65,Occitanie,France,Non,Prospect,Saint même chasser grand.
74fd5004,Boutique spécialisée Fille,rogerbaron@example.com,0485911498,Boutique spécialisée,http://bigot.org/,http://www.bazin.com/,4062.0,http://chevallier.com/,417.0,http://gaillard.net/,5867.0,,,,,,,"41, chemin Bernard Wagner Sète",34,Occitanie,France,Oui,Intéressé,Penser leur écarter vendre nuage poitrine arme volonté.
8476b104,Editeur Mais,valentine70@example.org,,Editeur,http://www.ferreira.org/,https://www.bouchet.com/,621.0,http://www.moreau.fr/,1781.0,https://samson.fr/,9879.0,http://chauvet.org/,6553.0,,,,,"34, rue Hortense Masse Argenteuil",95,Île-de-France,France,Non,Contacté,Vite déclarer profond leur courir sien part combien.
a06d4428,Boutique spécialisée Secours,lucas76@example.org,04 23 32 73 79,Boutique spécialisée,https://begue.net/,https://perez.com/,2482.0,http://rodrigues.fr/,1008.0,http://www.carlier.com/,1771.0,,,,,,,boulevard de Germain Châteaudun,28,Centre-Val de Loire,France,Oui,Contacté,Être reposer montagne représenter inquiéter pur énergie.
7c50d262,CSCS Soi,cmathieu@example.net,0634675366,CSCS,https://www.pottier.fr/,http://lopez.fr/,2650.0,,,https://www.regnier.fr/,2316.0,,,,,433.0,2024-05-08,"10, rue Thierry Abbeville",80,Hauts-de-France,France,Oui,Intéressé,
4dd321ce,Bar à jeux Gouvernement,lebretonmartine@example.net,0385910800,Bar à jeux,,https://www.chauvin.fr/,1454.0,http://www.martinez.net/,2371.0,,,,,,,,2024-01-09,"830, rue Noël Brunel Rethel",08,Grand Est,France,Oui,Intéressé,
357631f3,MJC Violence,bergerisabelle@example.net,,MJC,http://www.vallee.fr/,http://www.pottier.com/,3039.0,http://lelievre.fr/,369.0,,,,,,,427.0,,"44, rue Bernadette Rocher Privas",07,Auvergne-Rhône-Alpes,France,Oui,Contacté,
17598558,Ludothèque Société,augustinlanglois@example.com,+33 3 80 09 70 48,Ludothèque,https://gomez.fr/,http://www.antoine.fr/,810.0,,,,,,,,,33.0,2025-08-29,"84, boulevard Guyot Romorantin-Lanthenay",41,Centre-Val de Loire,France,Oui,Prospect,
22324e22,Influenceur Bord,guillonpaulette@example.org,+33 (0)5 16 30 54 83,Influenceur,https://www.roger.fr/,,,https://www.pierre.com/,17964.0,https://www.navarro.com/,20706.0,http://albert.fr/,33318.0,,,,2024-01-09,"12, rue de Klein Bar-le-Duc",55,Grand Est,France,Oui,Prospect,
0c42716e,Ludothèque Somme,pdiaz@example.org,04 66 17 45 74,Ludothèque,http://www.clement.org/,https://www.allard.com/,895.0,,,,,,,,,66.0,,"54, avenue de Jourdan Porto-Vecchio",2A,Corse,France,Non,Intéressé,
cd88bf99,Artisan Chemin,jourdanrichard@example.org,0634703849,Artisan,https://richard.net/,https://roussel.fr/,2417.0,http://delorme.com/,1574.0,http://www.allard.com/,4752.0,,,,,,2024-04-23,"42, avenue Courtois Vendôme",41,Centre-Val de Loire,France,Oui,Intéressé,Genou poète occasion éprouver nation.
bc8cf85b,Bar à jeux Bataille,suzannede-sousa@example.com,+33 4 42 35 28 63,Bar à jeux,http://laporte.com/,,,https://petitjean.com/,163.0,,,,,,,,2025-09-25,"765, avenue Schmitt Bayonne",64,Nouvelle-Aquitaine,France,Oui,Prospect,Quart règle distinguer frère départ place crise.
f2f45f9f,Influenceur Passion,vincent95@example.net,,Influenceur,https://loiseau.fr/,,,http://www.marion.fr/,10782.0,http://rousset.fr/,29176.0,https://www.moulin.fr/,32887.0,,,,2025-05-02,"59, chemin Dorothée Roche Limoges",87,Nouvelle-Aquitaine,France,Oui,Prospect,Mur quart relation menacer.
c46aff26,Editeur Ceci,gbourdon@example.com,0235509602,Editeur,,https://www.seguin.com/,4548.0,https://marin.fr/,10060.0,http://www.carre.fr/,5512.0,https://fernandez.com/,813.0,,,,2024-02-18,"6, rue Laroche Béziers",34,Occitanie,France,Non,Intéressé,
3421687d,Boutique spécialisée Tard,constanceteixeira@example.net,+33 2 31 71 77 84,Boutique spécialisée,http://www.guyot.fr/,https://brun.fr/,3873.0,http://www.pascal.fr/,781.0,http://www.toussaint.com/,5519.0,,,,,,,"83, rue Frédéric Mace Sedan",08,Grand Est,France,Oui,Intéressé,
e4508384,CSCS Ordre,gmaillot@example.org,+33 4 97 78 58 92,CSCS,https://www.guichard.com/,http://bertin.com/,3682.0,,,,,,,,,273.0,,"83, boulevard Gomez Chinon",37,Centre-Val de Loire,France,Oui,Intéressé,
48ce49c6,Boutique spécialisée Feuille,lerouxnoemi@example.com,0262060395,Boutique spécialisée,http://lemaitre.com/,http://www.renard.fr/,2261.0,https://www.arnaud.org/,2943.0,https://roux.com/,4348.0,,,,,,2025-05-21,chemin Camus Castelsarrasin,82,Occitanie,France,Non,Intéressé,
fd06fab4,Editeur Face,marionelise@example.net,+33 6 79 50 72 56,Editeur,http://carpentier.com/,http://www.boulanger.org/,5064.0,https://aubert.org/,6260.0,http://www.gaudin.com/,7143.0,https://valette.com/,4509.0,,,,2025-01-01,"4, boulevard Guillet Strasbourg",67,Grand Est,France,Non,Prospect,Tendre haut assurer général souvent.
b21692c7,MJC Debout,dvincent@example.org,+33 (0)3 60 99 83 58,MJC,,https://www.bousquet.net/,576.0,,,,,,,,,257.0,,"19, rue Anne Weber Le Blanc",36,Centre-Val de Loire,France,Oui,Contacté,
4250a171,Bar à jeux Lune,dianebarbier@example.org,,Bar à jeux,http://www.gosselin.com/,http://www.bouvet.org/,2702.0,https://bertrand.com/,462.0,https://www.guillot.com/,5673.0,,,,,,2024-02-09,"44, boulevard Hélène Giraud Sablé-sur-Sarthe",72,Pays de la Loire,France,Oui,Contacté,
13bd229a,Ludothèque Immense,milletmaggie@example.net,04 92 17 36 22,Ludothèque,http://www.briand.net/,http://www.dupuy.net/,1501.0,http://michaud.fr/,154.0,,,,,,,257.0,,"99, rue Pasquier Toulon",83,Provence-Alpes-Côte d'Azur,France,Oui,Intéressé,
4a15c7f3,CSCS Juger,aleroy@example.org,+33 (0)4 99 88 39 21,CSCS,https://blin.fr/,http://www.valentin.com/,717.0,,,,,,,,,449.0,2025-03-24,"428, avenue de Jacques Boulogne-sur-Mer",62,Hauts-de-France,France,Oui,Contacté,
e9c76f60,Ludothèque Fier,ietienne@example.com,,Ludothèque,,,,https://marin.fr/,1825.0,,,,,,,253.0,2025-05-03,"3, rue de Morin Montargis",45,Centre-Val de Loire,France,Non,Intéressé,
43f2b99f,Influenceur Certain,capucinegilbert@example.com,+33 3 89 80 75 17,Influenceur,https://www.simon.com/,,,https://www.de.org/,18328.0,https://www.parent.com/,27680.0,http://menard.org/,39731.0,http://charpentier.net/,55276.0,,,"9, chemin Michel Évry-Courcouronnes",91,Île-de-France,France,Non,Prospect,
b12fc4b8,MJC Métier,patriciaferrand@example.org,0383508037,MJC,,,,http://techer.fr/,405.0,,,,,,,143.0,,"56, chemin Bazin Corte",2B,Corse,France,Oui,Intéressé,Important changement comme.
648bcf16,Influenceur Nul,,0243995336,Influenceur,http://perret.com/,,,https://foucher.com/,16552.0,https://www.robin.fr/,12592.0,https://www.voisin.com/,47582.0,http://laine.fr/,74193.0,,2025-10-11,"55, rue de Royer Gourdon",46,Occitanie,France,Non,Contacté,
695e50c1,MJC Désir,launayclemence@example.org,0517747716,MJC,http://www.vaillant.fr/,https://richard.fr/,3116.0,,,,,,,,,371.0,,"9, chemin Gosselin Parthenay",79,Nouvelle-Aquitaine,France,Oui,Contacté,Avant lui ressembler habitude présent claire.
d6dccfc3,Bar à jeux Eh,begueleon@example.net,+33 2 38 69 55 75,Bar à jeux,http://www.meunier.org/,https://www.gautier.com/,2336.0,,,https://renard.net/,5905.0,,,,,,2025-06-03,"23, chemin de Lemoine Sedan",08,Grand Est,France,Non,Prospect,
723bf2b9,Artisan Nez,alfredmaillard@example.org,05 24 05 22 29,Artisan,https://gomez.fr/,http://www.marion.com/,1323.0,http://rey.com/,2878.0,https://www.valette.net/,3499.0,,,,,,2024-08-18,"67, rue Claude Laurent Cosne-Cours-sur-Loire",58,Bourgogne-Franche-Comté,France,Oui,Intéressé,
d4ad9123,CSCS Agiter,remy27@example.net,0160577224,CSCS,https://www.pires.fr/,,,http://www.baudry.fr/,586.0,,,,,,,61.0,2023-12-31,"94, avenue Alix Laroche Aubervilliers",93,Île-de-France,France,Non,Intéressé,
e8e35a3b,Influenceur Retomber,joubertdaniel@example.com,,Influenceur,http://renault.fr/,,,https://www.pottier.fr/,19301.0,https://www.leroy.fr/,12650.0,http://henry.com/,44924.0,https://www.klein.fr/,19036.0,,2025-08-08,"725, avenue Honoré Moreno Montreuil",93,Île-de-France,France,Oui,Contacté,Perdu rapport dos papa.
b84396a4,Bar à jeux Donc,stephanie69@example.net,+33 (0)2 49 33 42 82,Bar à jeux,,https://www.martineau.org/,1864.0,http://lelievre.com/,1939.0,https://pelletier.org/,1340.0,,,,,,,"449, rue Isaac Peron Arles",13,Provence-Alpes-Côte d'Azur,France,Oui,Intéressé,
1efbe532,Editeur Risquer,echevallier@example.net,,Editeur,http://www.dubois.com/,http://www.brunel.com/,3152.0,https://www.renard.net/,2587.0,https://bigot.fr/,7031.0,https://bruneau.fr/,5505.0,,,,,rue Brun Dole,39,Bourgogne-Franche-Comté,France,Oui,Contacté,Joie porte côté violent franc mince.
e05b1704,CSCS Huit,luceribeiro@example.net,04 97 45 93 68,CSCS,https://henry.org/,https://turpin.fr/,2521.0,,,,,,,,,496.0,2024-09-14,"64, rue Grondin Saint-Lô",50,Normandie,France,Oui,Prospect,Suite repousser approcher assurer liberté marche.
50b8d675,MJC Te,gilbertseguin@example.net,0327895482,MJC,http://www.charrier.fr/,https://www.delaunay.com/,1630.0,,,,,,,,,88.0,,avenue Boulanger Senlis,60,Hauts-de-France,France,Non,Intéressé,
6273e110,CSCS Simplement,adelaidegiraud@example.net,,CSCS,http://devaux.com/,,,,,http://regnier.fr/,763.0,,,,,58.0,2025-09-01,"121, boulevard Claire Cohen Bagnères-de-Bigorre",65,Occitanie,France,Non,Contacté,
48fa2cb9,Bar à jeux Habiller,paulettelegrand@example.net,04 30 05 54 20,Bar à jeux,http://guillou.fr/,http://fontaine.fr/,1014.0,https://leger.com/,700.0,http://gaudin.fr/,4327.0,,,,,,2025-07-09,"75, rue de Le Gall Toulouse",31,Occitanie,France,Oui,Intéressé,Réalité naturellement cour haute ferme tout jouer.
73f7288d,Ludothèque Connaître,legendrerobert@example.net,0633034579,Ludothèque,http://www.garnier.fr/,http://www.renard.com/,1816.0,http://www.huet.fr/,105.0,,,,,,,284.0,2025-08-30,avenue de Clément Chambéry,73,Auvergne-Rhône-Alpes,France,Oui,Contacté,Voisin par préparer grâce arbre.
daac4d4d,Bar à jeux Commun,leleuvirginie@example.net,+33 1 48 90 02 39,Bar à jeux,http://masse.fr/,http://www.baudry.net/,2439.0,http://mary.com/,2589.0,http://www.perrot.fr/,4205.0,,,,,,2025-07-10,"84, chemin Pereira Villefranche-sur-Saône",69,Auvergne-Rhône-Alpes,France,Non,Prospect,
52e10d3a,Influenceur Produire,jmaurice@example.com,0235550838,Influenceur,https://www.dupuy.com/,,,https://www.royer.fr/,14091.0,https://brun.com/,5373.0,https://blanchard.com/,48689.0,http://www.mace.net/,47989.0,,,"86, rue de Moulin Fougères",35,Bretagne,France,Non,Contacté,
0f287eda,CSCS Cause,hadam@example.com,0516241473,CSCS,,,,,,,,,,,,412.0,2024-05-13,"62, avenue Guibert Draguignan",83,Provence-Alpes-Côte d'Azur,France,Non,Prospect,Ah colline idée âgé sein nommer salut déposer.
01dd1ca7,MJC Naître,edouardpasquier@example.net,+33 3 84 81 46 55,MJC,https://thierry.fr/,http://remy.com/,2171.0,https://www.chevalier.com/,1854.0,,,,,,,263.0,2024-11-11,"94, boulevard de Rolland Vitry-sur-Seine",94,Île-de-France,France,Oui,Contacté,
7c77db90,MJC Discours,patricia29@example.org,+33 (0)7 40 81 22 26,MJC,http://www.garnier.com/,https://godard.net/,2126.0,,,http://vaillant.com/,593.0,,,,,202.0,,"36, rue de Maillot Forbach",57,Grand Est,France,Oui,Contacté,Vaincre tirer rejoindre quarante quitter.
7be845c7,Boutique spécialisée Remercier,marthefernandez@example.org,+33 (0)2 41 23 28 56,Boutique spécialisée,https://camus.fr/,https://www.marchal.fr/,1323.0,https://www.simon.com/,2407.0,https://valentin.com/,4586.0,,,,,,2025-05-22,"8, boulevard de Guyot Corte",2B,Corse,France,Non,Intéressé,
346be3b1,Artisan Haute,wagnerraymond@example.com,+33 5 62 59 53 26,Artisan,http://www.dumas.fr/,http://berthelot.com/,1718.0,http://grenier.fr/,1153.0,http://www.marty.fr/,3048.0,,,,,,,"11, rue Germain Fontainebleau",77,Île-de-France,France,Non,Intéressé,Aventure devenir rapide autrement placer rompre.
d9a507c1,Médiathèque Perte,ybouvier@example.net,+33 3 88 38 95 38,Médiathèque,https://www.diallo.net/,https://allard.net/,337.0,,,,,,,,,473.0,2025-10-13,"66, rue de Nguyen Verdun",55,Grand Est,France,Oui,Prospect,
96e093a2,CSCS Papa,emmanuel87@example.com,04 77 81 04 36,CSCS,https://www.colin.com/,https://lemaitre.com/,3693.0,,,,,,,,,175.0,,"31, avenue Alexandria Ferrand Pau",64,Nouvelle-Aquitaine,France,Oui,Prospect,
74cb1685,Ludothèque Règle,vpereira@example.com,,Ludothèque,https://www.perrier.fr/,http://www.brun.org/,1591.0,,,,,,,,,396.0,,"24, rue Alves Cannes",06,Provence-Alpes-Côte d'Azur,France,Oui,Prospect,
5036de00,Artisan Bientôt,margaud80@example.net,+33 2 69 26 10 35,Artisan,,http://texier.com/,3221.0,http://www.costa.org/,2636.0,https://www.lecomte.net/,3213.0,,,,,,2024-09-09,"25, avenue de Robin Langogne",48,Occitanie,France,Oui,Prospect,Et planche installer instinct chaise.
92f4c2a2,MJC Étendre,poulainalexandrie@example.com,+33 (0)5 67 05 57 91,MJC,http://www.henry.org/,http://www.lemoine.com/,1969.0,,,http://www.devaux.org/,589.0,,,,,485.0,,"2, avenue Gimenez Soissons",02,Hauts-de-France,France,Oui,Prospect,
b955fcf3,Médiathèque Mieux,margaretfoucher@example.com,+33 5 67 17 38 87,Médiathèque,http://www.chauvet.com/,https://gros.net/,514.0,,,,,,,,,274.0,,chemin de Prévost Albertville,73,Auvergne-Rhône-Alpes,France,Oui,Contacté,
16fd0eb1,CSCS Dresser,nathalie77@example.net,02 79 41 52 74,CSCS,http://www.gilbert.fr/,http://texier.com/,3741.0,https://www.lamy.fr/,778.0,,,,,,,61.0,,rue Tessier Saint-Dié-des-Vosges,88,Grand Est,France,Oui,Prospect,
c1b71200,Médiathèque Beau,jacques78@example.com,+33 6 29 41 51 82,Médiathèque,https://millet.com/,http://www.collin.net/,3298.0,http://robin.fr/,1030.0,http://www.bailly.fr/,1835.0,,,,,156.0,2025-06-26,"80, rue Lecomte Tulle",19,Nouvelle-Aquitaine,France,Non,Intéressé,
7db40ef5,Asso jdr Déjà,oleblanc@example.net,+33 6 99 85 37 88,Asso jdr,,http://simon.com/,2301.0,,,,,,,,,322.0,,"84, chemin de Lesage Saint-Germain-en-Laye",78,Île-de-France,France,Non,Intéressé,
